"Points:0","Points:1","Points:2","Q-criterion","U:0","U:1","U:2"
0.06552,-0.032976,0.03,3223.8,0.19608,-0.053682,4.2827e-22
0.065636,-0.033045,0.03,6373.6,0.20235,-0.052105,7.1176e-24
0.064635,-0.031784,0.03,-160.04,0.021889,0.031391,2.6024e-14
0.064641,-0.031776,0.03,-165.78,0.023708,0.029996,1.6632e-21
0.064808,-0.031891,0.03,-151.74,0.025569,0.028753,6.7843e-24
0.064961,-0.031993,0.03,-145.87,0.027491,0.027461,-5.3653e-24
0.065102,-0.032083,0.03,-140.55,0.029548,0.026069,-7.674e-22
0.065233,-0.032162,0.03,-130.05,0.031847,0.024499,-9.6913e-22
0.065354,-0.03223,0.03,-111.59,0.034499,0.022657,-2.2241e-25
0.065468,-0.032287,0.03,-45.147,0.037714,0.020396,-2.1879e-24
0.065575,-0.032333,0.03,8.2085,0.041565,0.017581,9.882e-22
0.065677,-0.032367,0.03,214.09,0.046372,0.014085,-5.6483e-23
0.065777,-0.032395,0.03,763.24,0.051198,0.010366,8.3239e-22
0.065876,-0.032431,0.03,1381.2,0.055176,0.0065402,5.3101e-23
0.065975,-0.032495,0.03,4779.4,0.053717,0.0063911,2.8546e-23
0.066049,-0.032606,0.03,-1695.9,0.04221,0.005383,5.6667e-23
0.066089,-0.03279,0.03,-4081.8,0.060466,0.010051,-2.447e-23
0.065974,-0.032996,0.03,13128,0.14238,-0.0090765,8.4619e-22
0.06579,-0.033065,0.03,13238,0.19936,-0.042381,4.2098e-23
0.063892,-0.031572,0.03,482.67,0.027394,0.027299,2.1039e-21
0.063898,-0.031564,0.03,474.38,0.021737,0.030882,2.6024e-14
0.064112,-0.031724,0.03,484.39,0.034186,0.02324,-7.3189e-22
0.06431,-0.031865,0.03,503.67,0.042326,0.018355,1.582e-21
0.06449,-0.031995,0.03,529.71,0.052002,0.012558,1.659e-21
0.064651,-0.032117,0.03,571.2,0.063385,0.0057918,1.6928e-24
0.064796,-0.032231,0.03,643.63,0.076593,-0.00194,-6.3202e-25
0.064925,-0.032338,0.03,765.31,0.091637,-0.010532,-5.1353e-22
0.065039,-0.032441,0.03,967.93,0.10836,-0.019734,-5.8095e-22
0.065137,-0.032541,0.03,1243.8,0.12636,-0.0291,1.3951e-21
0.065221,-0.032639,0.03,1548.1,0.14498,-0.038013,-1.6302e-22
0.06529,-0.032737,0.03,1763.9,0.1631,-0.045685,1.552e-22
0.06535,-0.032835,0.03,1883.4,0.17936,-0.051382,1.5417e-22
0.065417,-0.032931,0.03,2158.5,0.19249,-0.054558,6.1336e-23
0.065508,-0.033019,0.03,2570.6,0.20252,-0.055147,1.3745e-23
0.065636,-0.033086,0.03,5039.7,0.20779,-0.052939,-7.4211e-23
0.06446,-0.031649,0.03,-171.4,0.021796,0.03127,2.6024e-14
0.064466,-0.031641,0.03,-177.51,0.023739,0.029779,3.1812e-21
0.064648,-0.031768,0.03,-162.01,0.025713,0.028467,1.3017e-21
0.064815,-0.031881,0.03,-155.66,0.027724,0.027123,-1.478e-21
0.064969,-0.031982,0.03,-151.06,0.029841,0.025701,-1.7657e-21
0.065112,-0.03207,0.03,-145.89,0.032156,0.024136,-1.8116e-21
0.065244,-0.032147,0.03,-131.69,0.034794,0.022337,-1.2504e-23
0.065367,-0.032213,0.03,-105.32,0.037889,0.020191,-1.5053e-23
0.065483,-0.032266,0.03,-19.576,0.041673,0.017536,5.235e-22
0.065593,-0.032308,0.03,62.374,0.046234,0.014232,1.1167e-23
0.065698,-0.032338,0.03,281.48,0.05172,0.010263,7.7698e-22
0.065801,-0.032365,0.03,930.91,0.056909,0.0063389,-4.8897e-23
0.065905,-0.032405,0.03,1417.1,0.060324,0.0028084,-8.5321e-22
0.066007,-0.032479,0.03,3920.9,0.057587,0.0035208,-8.9011e-23
0.06608,-0.032603,0.03,-1970.8,0.044293,0.0041823,-1.9288e-23
0.066112,-0.032799,0.03,-2995.9,0.063552,0.0094458,7.7654e-22
0.065993,-0.033015,0.03,11756,0.14733,-0.010127,2.2293e-21
0.065802,-0.033098,0.03,11169,0.20422,-0.043116,8.1682e-22
0.063646,-0.031415,0.03,455.4,0.026956,0.027336,1.1432e-21
0.063651,-0.031407,0.03,447.66,0.021629,0.030712,5.2048e-14
0.063887,-0.031581,0.03,456.91,0.033359,0.023538,-1.8978e-23
0.064105,-0.031734,0.03,473.69,0.041017,0.018963,7.475e-22
0.064303,-0.031876,0.03,494.25,0.050109,0.013528,9.413e-22
0.064481,-0.032008,0.03,524.24,0.060798,0.0071713,1.8057e-23
0.064642,-0.032131,0.03,572.7,0.073208,-0.00012244,-5.9796e-24
0.064785,-0.032248,0.03,654.71,0.087378,-0.0082858,-4.8868e-22
0.064912,-0.032358,0.03,784.37,0.10321,-0.017127,-8.6959e-23
0.065023,-0.032464,0.03,978.77,0.1204,-0.026297,1.525e-21
0.065118,-0.032568,0.03,1206.5,0.13842,-0.035269,1.4027e-22
0.065198,-0.03267,0.03,1399.6,0.15646,-0.043395,7.8325e-24
0.065263,-0.032773,0.03,1496.2,0.17336,-0.049945,1.1965e-22
0.065323,-0.032876,0.03,1528,0.18792,-0.054355,-6.1366e-23
0.065396,-0.032976,0.03,1691.8,0.19939,-0.056382,-2.1935e-22
0.065497,-0.033066,0.03,2011.1,0.20809,-0.056111,-1.0577e-22
0.065639,-0.033129,0.03,3975.3,0.21258,-0.053417,1.4279e-22
0.064267,-0.031501,0.03,-183.78,0.021693,0.031137,2.6024e-14
0.064273,-0.031493,0.03,-190.11,0.023771,0.029543,4.5869e-22
0.064472,-0.031633,0.03,-173.02,0.025871,0.028152,2.4961e-21
0.064655,-0.031758,0.03,-165.92,0.027986,0.026746,-2.8182e-21
0.064824,-0.03187,0.03,-161.56,0.030181,0.025281,-1.3979e-23
0.064979,-0.031969,0.03,-158.27,0.03254,0.0237,-8.829e-22
0.065123,-0.032055,0.03,-152.83,0.035171,0.021926,7.9135e-22
0.065257,-0.03213,0.03,-133.69,0.03822,0.019852,-8.6044e-22
0.065382,-0.032192,0.03,-96.948,0.04185,0.017346,5.6924e-23
0.0655,-0.032242,0.03,5.8311,0.046309,0.014233,-2.762e-22
0.065612,-0.032278,0.03,114.07,0.051671,0.010403,2.8507e-23
0.065721,-0.032305,0.03,334.01,0.057815,0.0060165,3.9948e-22
0.065829,-0.032332,0.03,1016.8,0.063147,0.0020619,-1.1802e-21
0.065938,-0.032379,0.03,1325.7,0.065739,-0.00095769,-1.3339e-22
0.066042,-0.032465,0.03,3034.7,0.061548,0.00074518,3.1544e-22
0.066114,-0.032602,0.03,-2185.9,0.046509,0.0030701,-2.9715e-22
0.066136,-0.03281,0.03,-2170.5,0.066844,0.0088514,1.5988e-21
0.066014,-0.033036,0.03,10540,0.15221,-0.011093,-1.1379e-21
0.065818,-0.033134,0.03,9464.1,0.20865,-0.043616,-4.804e-22
0.063376,-0.031244,0.03,429.86,0.026529,0.027343,-1.006e-24
0.063381,-0.031236,0.03,422.53,0.021511,0.030526,2.6024e-14
0.06364,-0.031424,0.03,431.3,0.032571,0.023791,-2.0509e-23
0.06388,-0.031591,0.03,446.36,0.039785,0.019507,-1.164e-21
0.064098,-0.031745,0.03,463.48,0.048336,0.014412,-7.226e-22
0.064294,-0.031889,0.03,486,0.058384,0.0084402,-7.2556e-22
0.064472,-0.032022,0.03,520,0.070055,0.0015638,-8.0801e-22
0.06463,-0.032148,0.03,574.49,0.083409,-0.0061782,9.9514e-25
0.064772,-0.032267,0.03,662.28,0.098388,-0.014645,4.4568e-22
0.064896,-0.03238,0.03,791.12,0.11477,-0.023557,4.98e-22
0.065005,-0.03249,0.03,960.75,0.13214,-0.032484,5.981e-22
0.065096,-0.032598,0.03,1124,0.14984,-0.040853,-1.0381e-22
0.065171,-0.032705,0.03,1216.9,0.16698,-0.04803,6.6283e-22
0.065233,-0.032813,0.03,1227.9,0.18243,-0.053391,-2.8004e-24
0.065295,-0.032921,0.03,1202.5,0.19531,-0.056586,-2.1935e-22
0.065375,-0.033026,0.03,1291.3,0.20529,-0.057618,-1.1723e-22
0.065489,-0.033116,0.03,1544.4,0.21289,-0.056649,3.8624e-23
0.065644,-0.033175,0.03,3125.8,0.21679,-0.053587,1.9147e-23
0.064056,-0.031338,0.03,-196.93,0.021581,0.030991,1.041e-13
0.064062,-0.03133,0.03,-203.35,0.023802,0.029287,-1.0587e-21
0.064279,-0.031484,0.03,-184.79,0.026041,0.027811,3.3862e-21
